row ID,Activity,a_acc,a_don,density,FCharge,logP(o/w),logS,PC+,PC-,TPSA,Weight
1740,0,0.05,0,0.078055,0,0.471811,0.814233,0,0,0.043883,0.044027
1744,0,0.025,0,0.047065,0,0.534102,0.753736,0,0,0.021941,0.064543
1745,0,0.025,0,0.042822,0,0.49901,0.819718,0,0,0.021941,0.035604
1746,0,0.025,0,0.137484,0,0.506371,0.793808,0,0,0.021941,0.039454
1747,0,0.075,0.08,0.088564,0,0.50507,0.760191,0,0,0.085349,0.108546
1748,0,0.125,0.12,0.082009,0,0.508115,0.733475,0,0,0.112676,0.177923
1750,0,0.025,0,0.07682,0,0.487568,0.825319,0,0,0.033805,0.036792
1756,0,0.125,0.08,0.093363,0,0.52949,0.675186,0,0,0.129695,0.235824
1757,0,0.125,0.04,0.091775,0,0.560946,0.640482,0,0,0.137497,0.269594
1760,0,0.025,0,0.061168,0,0.540429,0.750484,0,0,0.033805,0.08263
1761,0,0.025,0,0.055664,0,0.539453,0.759309,0,0,0.033805,0.070589
1762,0,0.025,0,0.044686,0,0.564021,0.680836,0,0,0.033805,0.11162
1763,0,0.025,0,0.058135,0,0.54303,0.747882,0,0,0.033805,0.091079
1765,0,0.05,0.08,0.065836,0,0.529904,0.768805,0,0,0.047945,0.062139
1767,0,0.05,0.08,0.065836,0,0.529904,0.768805,0,0,0.047945,0.062139
1768,0,0.05,0,0.075365,0,0.565617,0.711682,0,0,0.067611,0.122445
1769,0,0.025,0,0.059263,0,0.521656,0.781118,0,0,0.033805,0.062139
1770,0,0.125,0.12,0.094516,0,0.539335,0.719498,0,0,0.123319,0.197223
1771,0,0.025,0.04,0.038068,0,0.539808,0.78489,0,0,0.026003,0.053717
1772,0,0.05,0.08,0.065836,0,0.504124,0.807314,0,0,0.052006,0.063354
1773,0,0,0,0.003401,0,0.573996,0.731784,0,0,0,0.027181
1774,0,0.075,0.08,0.10829,0,0.513614,0.659405,0,0,0.116057,0.121248
1775,0,0.075,0.08,0.094925,0,0.511811,0.705572,0,0,0.096751,0.118805
1777,1,0.05,0,0.115631,0,0.547258,0.669356,0,0,0.039474,0.146455
1778,0,0.05,0,0.05013,0,0.63323,0.633481,0,0,0.03797,0.188207
1779,0,0,0,0.021874,0,0.614646,0.668198,0,0,0,0.073019
1783,0,0.05,0.08,0.116169,0,0.476837,0.773931,0,0,0.134502,0.106737
1784,0,0.05,0.08,0.094704,0,0.511101,0.750716,0,0,0.11652,0.132085
1786,0,0.025,0,0.030363,0,0.615935,0.602259,0,0,0.021941,0.118882
1787,0,0.025,0.04,0.035073,0,0.534723,0.729525,0,0,0.026003,0.069401
1788,0,0.1,0.04,0.441075,0,0.507924,0.763536,0,0,0.103229,0.144625
1789,0,0,0,0.017853,0.333333,0.574339,0.750498,0,0,0,0.095977
1790,0,0.1,0.04,0.441075,0,0.507924,0.763536,0,0,0.103229,0.144625
1791,0,0,0,0.018547,0.333333,0.615639,0.706297,0,0,0,0.121325
1792,0,0,0,0.028008,0.333333,0.507465,0.815517,0,0,0,0.060966
1793,0,0,0,0.028008,0.333333,0.507465,0.815517,0,0,0,0.060966
1794,0,0,0,0.028008,0.333333,0.507465,0.815517,0,0,0,0.060966
1795,0,0,0,0.028008,0.333333,0.507465,0.815517,0,0,0,0.060966
1796,0,0,0,0.028008,0.333333,0.507465,0.815517,0,0,0,0.060966
1797,0,0,0,0.028008,0.333333,0.507465,0.815517,0,0,0,0.060966
1798,0,0,0,0.028008,0.333333,0.507465,0.815517,0,0,0,0.060966
1799,0,0.1,0.04,0.441075,0,0.507924,0.763536,0,0,0.103229,0.144625
1800,0,0,0,0.027448,0.333333,0.520532,0.806976,0,0,0,0.069415
1802,0,0,0,0.027448,0.333333,0.520532,0.806976,0,0,0,0.069415
1803,0,0,0,0.027448,0.333333,0.520532,0.806976,0,0,0,0.069415
1804,0,0,0,0.027448,0.333333,0.520532,0.806976,0,0,0,0.069415
1805,0,0.1,0.04,0.441075,0,0.507924,0.763536,0,0,0.103229,0.144625
1806,1,0,0,0.031024,0.333333,0.55119,0.791818,0,0,0.004987,0.065772
1810,1,0,0,0.031024,0.333333,0.55119,0.791818,0,0,0.004987,0.065772
1811,0,0,0,0.031024,0.333333,0.55119,0.791818,0,0,0.004987,0.065772
1813,0,0,0,0.031024,0.333333,0.55116,0.805087,0,0,0.004987,0.065772
1815,0,0,0,0.031024,0.333333,0.55116,0.805087,0,0,0.004987,0.065772
1816,0,0,0,0.031024,0.333333,0.55116,0.805087,0,0,0.004987,0.065772
1817,0,0,0,0.031024,0.333333,0.55116,0.805087,0,0,0.004987,0.065772
1818,0,0,0,0.031958,0.333333,0.54238,0.811879,0,0,0.004987,0.057323
1820,0,0,0,0.031958,0.333333,0.54238,0.811879,0,0,0.004987,0.057323
1821,0,0,0,0.031958,0.333333,0.54238,0.811879,0,0,0.004987,0.057323
1822,0,0,0,0.031958,0.333333,0.54238,0.811879,0,0,0.004987,0.057323
1823,0,0,0,0.031958,0.333333,0.54238,0.811879,0,0,0.004987,0.057323
1829,0,0,0,0.031024,0.333333,0.550037,0.798614,0,0,0.004987,0.065772
1831,0,0,0,0.03323,0.333333,0.579867,0.746666,0,0,0,0.114647
1832,0,0,0,0.031962,0.333333,0.606001,0.716316,0,0,0,0.131545
1834,0,0,0,0,0,0.539231,0.768519,0,0,0,0.017518
1835,0,0.025,0,0.051525,0,0.487154,0.841219,0,0,0.021941,0.018706
1839,0,0.15,0.16,0.118794,0,0.525706,0.633995,0,0,0.155801,0.198953
1840,0,0.075,0.04,0.120213,0,0.505129,0.733714,0,0,0.109013,0.077814
1841,0,0.075,0.04,0.120213,0,0.505129,0.733714,0,0,0.109013,0.077814
1842,0,0.05,0.04,0.087554,0,0.486208,0.751684,0,0,0.091262,0.083861
1843,0,0.025,0,0.04975,0,0.521123,0.75861,0,0,0.021941,0.059737
1844,0,0.025,0,0.080919,0,0.506874,0.801937,0,0,0.033805,0.052476
1845,0,0.05,0.04,0.064754,0,0.537886,0.746814,0,0,0.037867,0.075395
1846,1,0.15,0,0.078188,0,0.562764,0.573526,0,0,0.099668,0.275617
1847,0,0,0.04,0.040198,0,0.527391,0.74544,0,0,0.033446,0.056716
1848,0,0.025,0.04,0.04975,0,0.538152,0.748947,0,0,0.026003,0.057309
1849,0,0.025,0,0.041572,0,0.545957,0.731493,0,0,0.011864,0.065758
1850,0,0.025,0,0.074328,0,0.519941,0.793396,0,0,0.033805,0.060925
1851,0,0,0,0.021874,0,0.562415,0.733625,0,0,0,0.047672
1853,0,0.025,0.04,0.037651,0,0.525676,0.807,0,0,0.015463,0.05191
1854,0,0.025,0,0.084302,0,0.54099,0.757391,0,0,0.011864,0.071817
1855,0,0.175,0.2,0.12183,0,0.449017,0.765902,0,0,0.157446,0.220155
1857,1,0.1,0.08,0.067836,0,0.705868,0.444,0,0,0.093756,0.28526
1858,0,0.05,0.04,0.062863,0.333333,0.520296,0.783037,0,0,0.07157,0.121845
1859,0,0.075,0.08,0.13205,0,0.494132,0.809951,0,0,0.064513,0.078407
1860,0,0.175,0.04,0.108583,0,0.463681,0.694625,0,0,0.140274,0.26114
1863,0,0.025,0,0.03124,0,0.492328,0.804814,0,0,0.030579,0.025348
1864,0,0.075,0.04,0.068488,0,0.540281,0.68201,0,0,0.074051,0.150792
1865,0,0.025,0,0.038068,0,0.517073,0.771771,0,0,0.021941,0.051288
1867,0,0.025,0,0.049902,0,0.48748,0.817969,0,0,0.026106,0.053098
1870,0,0.125,0.08,0.090734,0,0.542557,0.653377,0,0,0.129695,0.244273
1871,0,0.1,0.04,0.102697,0,0.59391,0.599531,0,0,0.103692,0.263544
1872,0,0.025,0,0.09046,0,0.556511,0.71984,0,0,0.021941,0.07325
1873,0,0.05,0.08,0.065836,0,0.529904,0.768805,0,0,0.047945,0.062139
1874,0,0.05,0.08,0.065836,0,0.529904,0.768805,0,0,0.047945,0.062139
1875,0,0.05,0.08,0.065836,0,0.529904,0.768805,0,0,0.047945,0.062139
1876,0,0.025,0,0.050209,0,0.561449,0.72365,0,0,0.033805,0.087487
1877,0,0.1,0,0.07041,0,0.584988,0.617368,0,0,0.091339,0.217762
1878,0,0.125,0,0.073378,0,0.575224,0.61133,0,0,0.103203,0.244298
1879,0,0.025,0.04,0.035073,0,0.546755,0.724777,0,0,0.026003,0.068186
1881,0,0.075,0,0.08826,0,0.541227,0.667965,0,0,0.070053,0.149221
1885,0,0.05,0,0.070415,0,0.524642,0.714988,0,0,0.048048,0.141155
1888,0,0.025,0.04,0.022925,0,0.634176,0.646786,0,0,0.015463,0.120718
1889,0,0.05,0.08,0.061524,0,0.510244,0.777546,0,0,0.052006,0.071803
1892,1,0.05,0,0.058609,0,0.651116,0.580954,0,0,0.067611,0.180376
1893,0,0.05,0,0.056594,0,0.618418,0.639434,0,0,0.04567,0.150197
1896,0,0.025,0,0.052697,0,0.551545,0.7375,0,0,0.033805,0.079038
1897,0,0.025,0,0.050209,0,0.567391,0.716807,0,0,0.033805,0.086273
1898,0,0.05,0,0.21596,0,0.784035,0.344027,0,0,0.067611,0.400623
1899,0,0.075,0,0.061168,0,0.780399,0.394323,0,0,0.101416,0.304632
1900,0,0.05,0,0.058135,0,0.690022,0.52865,0,0,0.067611,0.210529
1901,0,0.025,0,0.052184,0,0.598167,0.66605,0,0,0.03797,0.142369
1902,0,0.025,0,0.052184,0,0.598167,0.66605,0,0,0.03797,0.142369
1904,0,0.025,0,0.051318,0,0.60068,0.662977,0,0,0.033805,0.116427
1906,0,0.05,0,0.058135,0,0.689963,0.52865,0,0,0.067611,0.210529
1907,0,0.05,0.04,0.066636,0,0.591515,0.678299,0,0,0.059809,0.126064
1908,0,0.05,0,0.062561,0,0.535285,0.726836,0,0,0.064385,0.094103
1909,1,0.125,0.12,0.101696,0,0.604523,0.606494,0,0,0.137497,0.229816
1910,0,0.05,0,0.055591,0,0.663415,0.595281,0,0,0.067611,0.198488
1911,0,0.05,0,0.062882,0,0.625188,0.638615,0,0,0.067611,0.185182
1912,0,0.05,0,0.051893,0,0.702616,0.529853,0,0,0.067611,0.223836
1914,0,0.025,0,0.099248,0,0.578803,0.703049,0,0,0.033805,0.091337
1915,0,0.05,0,0.132265,0,0.64153,0.566479,0,0,0.04567,0.196757
1916,0,0.05,0,0.083752,0,0.614301,0.621851,0,0,0.04567,0.16371
1918,0,0.025,0,0.08448,0,0.561153,0.695971,0,0,0.083678,0.098353
1919,0,0.05,0,0.073059,0,0.587487,0.682233,0,0,0.057534,0.12366
1921,0,0.05,0,0.042943,0,0.53969,0.738076,0,0,0.042443,0.08568
1922,0,0.05,0.04,0.042943,0,0.538211,0.753575,0,0,0.04531,0.088109
1923,0,0.05,0.04,0.052697,0,0.531707,0.757625,0,0,0.037867,0.080252
1925,0,0.1,0,0.07991,0,0.6319,0.599335,0,0,0.057534,0.193568
